Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,List Price,Listing Gain,CMP(BSE),CMP(NSE),Current Gains,month,quarter,year,target,qib_to_rii_ratio,hni_to_rii_ratio,institutional_dominance,log_issue_size,log_qib,log_hni,log_rii,price_bucket,nifty_5d_return
2025-08-06,M & B Engineering Ltd,650.0,36.72,38.24,32.55,36.2,385,386.0,0.26,426.85,426.15,10.87,8,3,2025,1,1.127764127764128,1.1744471744471747,1.0140845070422535,6.478509642208569,3.6301904577652566,3.6696966346971625,3.5130368634176907,expensive,-0.8267937241754654
2025-08-06,Sri Lotus Developers & Realty Ltd,792.0,163.9,57.71,20.28,69.14,150,179.1,19.4,201.1,199.72,34.07,8,3,2025,1,8.07787087235091,2.844258255298176,2.3702096890817064,6.675823221634848,5.105339229565553,4.072610070076094,3.0577676644734435,mid,-0.8267937241754654
2025-08-06,National Securities Depository Ltd (NSDL),4011.6,103.97,34.98,7.73,41.01,800,880.0,10.0,1294.05,61.76,,8,3,2025,1,13.4328165374677,4.51937984496124,2.5346172598732326,8.297194689246101,4.653674595047707,3.582963228522387,2.166765369851511,premium,-0.8267937241754654
2025-08-05,Aditya Infotech Ltd,1300.0,133.21,72.0,50.87,100.69,675,1018.0,50.81,1064.6,1062.7,57.72,8,3,2025,1,2.6181210691823904,1.4150943396226416,1.3228401191658392,7.170888478512505,4.899405737409714,4.290459441148391,3.9487405883633087,premium,-0.396233893432558
2025-08-05,Laxmi India Finance Ltd,254.26,1.3,1.84,2.22,1.87,158,136.0,-13.92,149.0,150.0,-5.7,8,3,2025,0,0.5829596412556054,0.8251121076233184,0.6914893617021276,5.542282633554545,0.832909122935104,1.043804052173115,1.169381359556317,mid,-0.396233893432558
2025-08-01,Shanti Gold International Ltd,360.11,117.33,151.48,30.37,81.17,199,229.1,15.13,254.0,255.9,27.64,8,3,2025,1,3.8620803159973662,4.986175115207373,1.4453067257945305,5.889182621059753,4.773477331396467,5.027033439905892,3.445852022202587,mid,-0.2764037147199742
2025-07-31,Brigade Hotel Ventures Limited,759.6,5.42,1.92,6.4,4.48,90,82.0,-8.89,85.95,86.0,-4.5,7,3,2025,0,0.8455538221528861,0.2995319812792511,1.2071269487750556,6.634107595494159,1.8594181177018696,1.0715836162801904,2.0014800002101243,cheap,-0.8261431857351212
2025-07-30,GNG Electronics Limited,460.44,266.21,227.67,46.84,147.93,237,350.0,47.68,321.2,321.95,35.53,7,3,2025,1,5.682177161152614,4.859551760939167,1.7994457212383397,6.13435203465653,5.588034866111888,5.432279916211003,3.867862109642376,mid,-1.581294037934608
2025-07-30,Indiqube Spaces Limited,700.0,14.35,8.27,12.9,12.41,237,218.7,-7.72,216.3,216.33,-8.73,7,3,2025,0,1.1115414407436095,0.6405886909372579,1.1553945249597424,6.55250788703459,2.731115474033206,2.226783379577764,2.631888840136646,mid,-1.581294037934608
2025-07-21,Anthem Biosciences Limited,3395.0,182.65,42.36,5.64,63.86,570,723.1,26.86,753.15,754.8,32.13,7,3,2025,1,32.32743362831859,7.497345132743363,2.859715046187569,8.130353547431238,5.213031772265676,3.769537357131391,1.8931119634883424,premium,-0.4541066292855598
2025-07-17,Smartworks Coworking Limited,582.56,24.41,22.78,3.53,13.45,407,436.1,7.15,462.3,461.2,13.59,7,3,2025,1,6.895480225988702,6.435028248587572,1.8135215453194653,6.369147274203694,3.235142797332073,3.168844891262636,1.5107219394949425,expensive,-0.5647714723775155
2025-07-14,Travel Food Services Limited,2000.0,7.7,1.58,0.69,2.88,1100,1126.2,2.38,1148.15,1148.0,4.38,7,3,2025,1,11.000000000000002,2.2571428571428576,2.664359861591696,7.601402334583733,2.163323025660538,0.947789398933526,0.5247285289349821,premium,-1.2232335439215118
2025-07-09,Crizac Limited,860.0,134.35,76.15,10.24,59.82,245,280.0,14.29,298.35,299.5,21.78,7,3,2025,1,13.107317073170732,7.429268292682927,2.2455289988300184,6.7580945044277305,4.90786401606031,4.34575157880917,2.419478844465545,mid,0.271474963323371
2025-07-03,Indogulf Cropsciences Limited,200.0,33.26,48.39,14.78,25.98,111,111.0,0.0,106.9,106.88,-3.69,7,3,2025,0,2.2488167680865447,3.271805273833672,1.2797229703732202,5.303304908059076,3.5339784928959737,3.899747974552533,2.7587433154177283,cheap,-0.3741814136561118
